dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,140.0,20.0,118225.14165701249
sine,Sine Wave Test for Heater 1,2,0.5,140.0,20.833333333333336,118134.89879697526
sine,Sine Wave Test for Heater 1,2,0.5,140.0,21.666666666666668,118068.56359419638
sine,Sine Wave Test for Heater 1,2,0.5,140.0,22.5,118025.73240498637
sine,Sine Wave Test for Heater 1,2,0.5,140.0,23.333333333333336,118005.97656570782
sine,Sine Wave Test for Heater 1,2,0.5,140.0,24.166666666666668,118008.8439632341
sine,Sine Wave Test for Heater 1,2,0.5,140.0,25.0,118033.8606273542
sine,Sine Wave Test for Heater 1,2,0.5,140.0,25.833333333333336,118080.53233820481
sine,Sine Wave Test for Heater 1,2,0.5,140.0,26.666666666666668,118148.34624196857
sine,Sine Wave Test for Heater 1,2,0.5,140.0,27.5,118236.77246830153
sine,Sine Wave Test for Heater 1,2,0.5,140.0,28.333333333333336,118345.26574319677
sine,Sine Wave Test for Heater 1,2,0.5,140.0,29.166666666666668,118473.26699125566
sine,Sine Wave Test for Heater 1,2,0.5,140.0,30.0,118620.2049216647
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,10.0,122878.30371785894
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,10.833333333333334,122499.64742992322
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,11.666666666666666,122146.92999903565
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,12.5,121820.13987134583
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,13.333333333333334,121519.226651367
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,14.166666666666668,121244.10189954733
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,15.0,120994.6400222788
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,15.833333333333334,120770.67925107642
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,16.666666666666668,120572.02270685036
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,17.5,120398.43954436385
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,18.333333333333336,120249.66617129178
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,19.166666666666668,120125.40753575187
