beta_1,beta_2,beta_3,beta_4,A,D,E,ME,obj,delay,period,run
0.010646862,0.066492468,0.111038497,0.007774732,6.839980074,15.32436536,0.074272635,6.750204023,50.31138042,10,5,2
0.010267403,0.055249749,0.109721711,0.00736783,6.829425454,15.30253295,0.028450227,6.786291943,105.1547209,10,5,3
0.015739003,0.073830168,0.060864649,0.012086838,6.842673338,13.55178597,-0.624216981,7.457953743,20.89440449,10,0,1
0.011449775,0.050305546,0.079058052,0.008674536,6.827577723,13.57308735,-0.490317748,7.311115276,17.10153083,10,0,2
0.017642017,0.047477494,0.044437235,0.012272572,6.783666673,13.36563178,-0.793353398,7.569387243,23.80721169,10,0,3
0.017203509,0.04031005,0.03914605,0.011221509,6.718121515,13.33667135,-0.839100803,7.549586448,143.6730268,11,0.5,1
0.019959811,0.052649946,0.037551952,0.012901277,6.705489265,13.17516854,-0.993386689,7.690123084,146.6634144,11,0.5,2
0.018312055,0.045346019,0.039599974,0.011960389,6.72000018,13.32223322,-0.864731667,7.576823376,147.5003735,11,0.5,3
0.012491904,0.068418563,0.098048643,0.00841413,6.745262371,14.72497886,-0.148592178,6.885005128,369.2436883,11,2,1
0.014911563,0.090774105,0.086359746,0.009747129,6.718315551,14.57078751,-0.231659402,6.939408549,171.1677528,11,2,2
0.013034032,0.072972951,0.095758541,0.008580563,6.726915293,14.65668644,-0.165335835,6.883080195,252.4933744,11,2,3
0.011511022,0.087290968,0.115170396,0.008797193,6.877318763,15.41145317,0.131118119,6.729268808,129.0966174,11,5,1
0.012220622,0.100044527,0.119902706,0.008926187,6.843272519,15.23826018,0.099296276,6.726184382,53.52282191,11,5,2
0.011405228,0.076069417,0.114953554,0.008104004,6.823871656,15.2487141,0.076288131,6.731250077,80.28384333,11,5,3
0.014652163,0.084712393,0.077184184,0.011253,6.840850369,13.50328966,-0.535583584,7.367809998,21.43099942,11,0,1
0.012890399,0.0686544,0.082085338,0.009766787,6.8292382,13.52087646,-0.483830834,7.305457929,17.96193623,11,0,2
0.016512953,0.043100948,0.045507179,0.011379907,6.77393301,13.38409616,-0.751946484,7.518586917,21.53655345,11,0,3
0.01807117,0.037503532,0.034780886,0.011667839,6.710079773,13.20105734,-0.965178876,7.667543971,163.6747523,12,0.5,1
